variant,folder,f1_score,model_type,description,checkpoint_path
12. Tamil Learned Att (Entire),12_finetuned_learned_attentive_entire,0.9234574801263178,Tamil,Tamil Wav2Vec + Learned Attentive Pooling + Fine-tune Top 4 Layers,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\12_finetuned_learned_attentive_entire\train_data\checkpoints_1\best_model.pth
11. Tamil Learned Avg+Att,11_finetuned_learned_average_attentive,0.8470824234413378,Tamil,Tamil Wav2Vec + Average & Learned Attentive Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\11_finetuned_learned_average_attentive\train_data\checkpoints\train_1\best_model.pth
10. Tamil Learned Att,10_finetuned_learned_attentive,0.8457784237283649,Tamil,Tamil Wav2Vec + Learned Attentive Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\10_finetuned_learned_attentive\train_data\checkpoints\train_1\best_model.pth
6. Tamil Attentive,6_finetuned_attentive,0.8209572452487368,Tamil,Tamil Wav2Vec + L2-Attentive Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\6_finetuned_attentive\train_data\checkpoints\train_1\best_model.pth
5. Tamil Average,5_finetuned_average,0.8104057312011719,Tamil,Tamil Wav2Vec + Average Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\5_finetuned_average\train_data\checkpoints\train_1\best_model.pth
2. Tamil Avg+Att,2_finetuned_average_attentive,0.7690740607001565,Tamil,Tamil Wav2Vec + Average & L2-Attentive Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\2_finetuned_average_attentive\train_data\checkpoints\train_2\best_model.pth
9. Orig Learned Avg+Att,9_original_learned_average_attentive,0.7097478563135321,Original,Facebook XLSR-53 + Average & Learned Attentive Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\9_original_learned_average_attentive\train_data\checkpoints\train_1\best_model.pth
8. Orig Learned Att,8_original_learned_attentive,0.6303360471219728,Original,Facebook XLSR-53 + Learned Attentive Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\8_original_learned_attentive\train_data\checkpoints\train_1\best_model.pth
1. Orig Avg+Att (Entire),1_original_average_attentive_entire,0.27237354520461904,Original,Facebook XLSR-53 + Average & Attentive Pooling + Fine-tune Top 4 Layers,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\1_original_average_attentive_entire\train_data\checkpoints\dialect_classification_1\best_model.pth
4. Orig Attentive,4_original_attentive,0.18529507969364975,Original,Facebook XLSR-53 + L2-Attentive Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\4_original_attentive\train_data\checkpoints\train_1\best_model.pth
3. Orig Average,3_original_average,0.13353816239219723,Original,Facebook XLSR-53 + Average Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\3_original_average\train_data\checkpoints\train_1\best_model.pth
7. Orig Avg+Att,7_original_average_attentive,0.13344587724317203,Original,Facebook XLSR-53 + Average & L2-Attentive Pooling (Frozen),E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Dialect Classification\7_original_average_attentive\train_data\checkpoints\train_1\best_model.pth
